sensor_id,start_time,end_time,start_day,start_hour,start_minute,end_day,end_hour,end_minute,start_minutes,end_minutes
S9,11100,11159,1,11,0,1,11,59,660,719
S26,11100,11159,1,11,0,1,11,59,660,719
S48,11100,11159,1,11,0,1,11,59,660,719
S9,11200,11259,1,12,0,1,12,59,720,779
S26,11200,11259,1,12,0,1,12,59,720,779
S28,11200,11259,1,12,0,1,12,59,720,779
S29,11200,11259,1,12,0,1,12,59,720,779
S32,11200,11259,1,12,0,1,12,59,720,779
S41,11200,11259,1,12,0,1,12,59,720,779
S48,11200,11259,1,12,0,1,12,59,720,779
S3,11300,11359,1,13,0,1,13,59,780,839
S9,11300,11359,1,13,0,1,13,59,780,839
S20,11300,11359,1,13,0,1,13,59,780,839
S26,11300,11359,1,13,0,1,13,59,780,839
S28,11300,11359,1,13,0,1,13,59,780,839
S29,11300,11359,1,13,0,1,13,59,780,839
S32,11300,11359,1,13,0,1,13,59,780,839
S41,11300,11359,1,13,0,1,13,59,780,839
S48,11300,11359,1,13,0,1,13,59,780,839
S3,11400,11459,1,14,0,1,14,59,840,899
S9,11400,11459,1,14,0,1,14,59,840,899
S20,11400,11459,1,14,0,1,14,59,840,899
S21,11400,11459,1,14,0,1,14,59,840,899
S26,11400,11459,1,14,0,1,14,59,840,899
S28,11400,11459,1,14,0,1,14,59,840,899
S29,11400,11459,1,14,0,1,14,59,840,899
S32,11400,11459,1,14,0,1,14,59,840,899
S41,11400,11459,1,14,0,1,14,59,840,899
S48,11400,11459,1,14,0,1,14,59,840,899
S3,11500,11559,1,15,0,1,15,59,900,959
S9,11500,11559,1,15,0,1,15,59,900,959
S13,11500,11559,1,15,0,1,15,59,900,959
S20,11500,11559,1,15,0,1,15,59,900,959
S21,11500,11559,1,15,0,1,15,59,900,959
S26,11500,11559,1,15,0,1,15,59,900,959
S28,11500,11559,1,15,0,1,15,59,900,959
S29,11500,11559,1,15,0,1,15,59,900,959
S32,11500,11559,1,15,0,1,15,59,900,959
S41,11500,11559,1,15,0,1,15,59,900,959
S48,11500,11559,1,15,0,1,15,59,900,959
S3,11600,11659,1,16,0,1,16,59,960,1019
S9,11600,11659,1,16,0,1,16,59,960,1019
S13,11600,11659,1,16,0,1,16,59,960,1019
S14,11600,11659,1,16,0,1,16,59,960,1019
S20,11600,11659,1,16,0,1,16,59,960,1019
S21,11600,11659,1,16,0,1,16,59,960,1019
S26,11600,11659,1,16,0,1,16,59,960,1019
S28,11600,11659,1,16,0,1,16,59,960,1019
S29,11600,11659,1,16,0,1,16,59,960,1019
S32,11600,11659,1,16,0,1,16,59,960,1019
S41,11600,11659,1,16,0,1,16,59,960,1019
S48,11600,11659,1,16,0,1,16,59,960,1019
S3,11700,11759,1,17,0,1,17,59,1020,1079
S9,11700,11759,1,17,0,1,17,59,1020,1079
S13,11700,11759,1,17,0,1,17,59,1020,1079
S14,11700,11759,1,17,0,1,17,59,1020,1079
S20,11700,11759,1,17,0,1,17,59,1020,1079
S21,11700,11759,1,17,0,1,17,59,1020,1079
S23,11700,11759,1,17,0,1,17,59,1020,1079
S26,11700,11759,1,17,0,1,17,59,1020,1079
S28,11700,11759,1,17,0,1,17,59,1020,1079
S29,11700,11759,1,17,0,1,17,59,1020,1079
S32,11700,11759,1,17,0,1,17,59,1020,1079
S37,11700,11759,1,17,0,1,17,59,1020,1079
S38,11700,11759,1,17,0,1,17,59,1020,1079
S41,11700,11759,1,17,0,1,17,59,1020,1079
S48,11700,11759,1,17,0,1,17,59,1020,1079
S3,11800,11859,1,18,0,1,18,59,1080,1139
S9,11800,11859,1,18,0,1,18,59,1080,1139
S13,11800,11859,1,18,0,1,18,59,1080,1139
S14,11800,11859,1,18,0,1,18,59,1080,1139
S20,11800,11859,1,18,0,1,18,59,1080,1139
S21,11800,11859,1,18,0,1,18,59,1080,1139
S23,11800,11859,1,18,0,1,18,59,1080,1139
S26,11800,11859,1,18,0,1,18,59,1080,1139
S28,11800,11859,1,18,0,1,18,59,1080,1139
S29,11800,11859,1,18,0,1,18,59,1080,1139
S32,11800,11859,1,18,0,1,18,59,1080,1139
S37,11800,11859,1,18,0,1,18,59,1080,1139
S38,11800,11859,1,18,0,1,18,59,1080,1139
S41,11800,11859,1,18,0,1,18,59,1080,1139
S48,11800,11859,1,18,0,1,18,59,1080,1139
S3,11900,11959,1,19,0,1,19,59,1140,1199
S6,11900,11959,1,19,0,1,19,59,1140,1199
S9,11900,11959,1,19,0,1,19,59,1140,1199
S13,11900,11959,1,19,0,1,19,59,1140,1199
S14,11900,11959,1,19,0,1,19,59,1140,1199
S20,11900,11959,1,19,0,1,19,59,1140,1199
S21,11900,11959,1,19,0,1,19,59,1140,1199
S23,11900,11959,1,19,0,1,19,59,1140,1199
S26,11900,11959,1,19,0,1,19,59,1140,1199
S28,11900,11959,1,19,0,1,19,59,1140,1199
S29,11900,11959,1,19,0,1,19,59,1140,1199
S32,11900,11959,1,19,0,1,19,59,1140,1199
S37,11900,11959,1,19,0,1,19,59,1140,1199
S38,11900,11959,1,19,0,1,19,59,1140,1199
S41,11900,11959,1,19,0,1,19,59,1140,1199
S48,11900,11959,1,19,0,1,19,59,1140,1199
S3,12000,12059,1,20,0,1,20,59,1200,1259
S6,12000,12059,1,20,0,1,20,59,1200,1259
S9,12000,12059,1,20,0,1,20,59,1200,1259
S13,12000,12059,1,20,0,1,20,59,1200,1259
S14,12000,12059,1,20,0,1,20,59,1200,1259
S20,12000,12059,1,20,0,1,20,59,1200,1259
S21,12000,12059,1,20,0,1,20,59,1200,1259
S23,12000,12059,1,20,0,1,20,59,1200,1259
S26,12000,12059,1,20,0,1,20,59,1200,1259
S28,12000,12059,1,20,0,1,20,59,1200,1259
S29,12000,12059,1,20,0,1,20,59,1200,1259
S31,12000,12059,1,20,0,1,20,59,1200,1259
S32,12000,12059,1,20,0,1,20,59,1200,1259
S37,12000,12059,1,20,0,1,20,59,1200,1259
S38,12000,12059,1,20,0,1,20,59,1200,1259
S41,12000,12059,1,20,0,1,20,59,1200,1259
S44,12000,12059,1,20,0,1,20,59,1200,1259
S48,12000,12059,1,20,0,1,20,59,1200,1259
S3,12100,12159,1,21,0,1,21,59,1260,1319
S6,12100,12159,1,21,0,1,21,59,1260,1319
S9,12100,12159,1,21,0,1,21,59,1260,1319
S13,12100,12159,1,21,0,1,21,59,1260,1319
S14,12100,12159,1,21,0,1,21,59,1260,1319
S20,12100,12159,1,21,0,1,21,59,1260,1319
S21,12100,12159,1,21,0,1,21,59,1260,1319
S23,12100,12159,1,21,0,1,21,59,1260,1319
S26,12100,12159,1,21,0,1,21,59,1260,1319
S28,12100,12159,1,21,0,1,21,59,1260,1319
S29,12100,12159,1,21,0,1,21,59,1260,1319
S31,12100,12159,1,21,0,1,21,59,1260,1319
S32,12100,12159,1,21,0,1,21,59,1260,1319
S37,12100,12159,1,21,0,1,21,59,1260,1319
S38,12100,12159,1,21,0,1,21,59,1260,1319
S41,12100,12159,1,21,0,1,21,59,1260,1319
S44,12100,12159,1,21,0,1,21,59,1260,1319
S48,12100,12159,1,21,0,1,21,59,1260,1319
S26,21000,21059,2,10,0,2,10,59,600,659
S31,21000,21059,2,10,0,2,10,59,600,659
S9,21100,21159,2,11,0,2,11,59,660,719
S17,21100,21159,2,11,0,2,11,59,660,719
S20,21100,21159,2,11,0,2,11,59,660,719
S26,21100,21159,2,11,0,2,11,59,660,719
S29,21100,21159,2,11,0,2,11,59,660,719
S31,21100,21159,2,11,0,2,11,59,660,719
S34,21100,21159,2,11,0,2,11,59,660,719
